Afbeeldingen;Categorieën;Naam;Prijs;Beschrijving
https://www.coureurlocal.be/wp-content/uploads/2021/11/defy-advanced-pro-2-UT-300x300.png;Racefiets;Giant Defy Advanced pro 2 Ultegra;3 999,00;Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information.
https://www.coureurlocal.be/wp-content/uploads/2020/11/Explore-E-1-pro-45-heer-300x300.png;Elektrisch;Giant Explore E+ 1 Pro 45km/u;4 999,00;Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information.
https://www.coureurlocal.be/wp-content/uploads/2020/11/Explore-E-1-pro-45-300x300.png;Elektrisch;Giant Explore E+ 1 Pro 45 km/u;4 999,00;Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information.
https://www.coureurlocal.be/wp-content/uploads/2021/12/avail-advanced-pro-2-300x300.png;Racefiets;Liv Avail Advanced Pro 2;3 999,00;De Liv Avail Advanced is licht, comfortabel en specifiek ontworpen voor dames.
https://www.coureurlocal.be/wp-content/uploads/2021/11/Fathom-E-2-Pro-300x300.png;E-Mountainbike;Giant Fathom E+ 2 Pro;3 899,00;Neem de controle over de trails met deze vette, nieuwe hardtail e-bike. Nu kan je gemakkelijker klimmen en verder rijden, de perfecte formule voor een machtige dag op de trails.
https://www.coureurlocal.be/wp-content/uploads/2023/01/dailytour-E-1-bd-dames-metalic-navy-300x300.png;E-bike;Giant Dailytour E+ 1 BD;3 849,00;Met de geïntegreerde accu, onderhoudsvriendelijke riem, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2023/01/dailytour-E-1-bd-heren-300x300.png;E-bike;Giant Dailytour E+ 1 BD;3 849,00;Met de geïntegreerde accu, onderhoudsvriendelijke riem, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2020/03/mn7-belt-bruin-vr-300x300.png;E-bike;QWIC Premium i MN7+ Belt;3 549,00;De QWIC Premium i MN7+ Belt is de meest luxueuze van de Qwic Premium i reeks. Hij is uitgerust met een krachtige middenmotor. Deze e-bike beschikt over een carbon riemaandrijving. De Shimano Nexus 7 naafversnelling zorgt voor het grootste gemak. De e-bike is verkrijgbaar in verschillende maten.
https://www.coureurlocal.be/wp-content/uploads/2020/03/mn7-belt-bruin-man-300x300.png;E-bike;QWIC Premium i MN7+ Belt;3 549,00;De QWIC Premium i MN7+ Belt is de meest luxueuze van de Qwic Premium i reeks. Hij is uitgerust met een krachtige middenmotor. Deze e-bike beschikt over een carbon riemaandrijving. De Shimano Nexus 7 naafversnelling zorgt voor het grootste gemak. De e-bike is verkrijgbaar in verschillende maten.
https://www.coureurlocal.be/wp-content/uploads/2023/01/Fastroad-300x300.png;E-bike;Giant Fastroad E+;3 799,00;De Giant Fastroad E+ is een ultramoderne e-bike voorzien van een krachtige motor, een soepel rijdend frame en accessoires die hem perfect maken voor woon-werkverkeer of ander stedelijk verkeer.
https://www.coureurlocal.be/wp-content/uploads/2023/01/achielle-jean-300x300.png;E-bike;Achielle Jean Longtail;3 795,00;De Achielle Jean Longtail is een compacte 24″ e-bike die toch in staat is grote transporten te doen. Denk maar aan twee kinderen (met of zonder kinderstoelen), heel wat boodschappen, boekentassen… Jij kiest zelf de kleuren en alle andere opties. Via de configurator van Achielle kan je alle mogelijkheden bekijken. Maarten helpt je graag verder om de voor jou perfecte bakfiets samen te stellen. Twijfel je over de kleur? Je kan alle kleuren zien bij Coureur Local.
https://www.coureurlocal.be/wp-content/uploads/2023/01/dailytour-E-1-bd-heren-300x300.png;E-bike;Giant Dailytour E+ 1 BD Dash;3 699,00;Met de geïntegreerde accu, onderhoudsvriendelijke riem, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2023/01/dailytour-E-1-bd-dames-metalic-navy-300x300.png;E-bike;Giant Dailytour E+ 1 BD Dash;3 699,00;Met de geïntegreerde accu, onderhoudsvriendelijke riem, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2023/01/dailytour-E2-D-dame-300x300.png;E-bike;Giant Dailytour E+ 2 D;3 699,00;Met de geïntegreerde accu, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2023/01/dailytour-E-2-d-heren-300x300.png;E-bike;Giant Dailytour E+ 2 D;3 699,00;Met de geïntegreerde accu, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2023/01/dailytour-E-2-d-heren-300x300.png;E-bike;Giant Dailytour E+ 2 D Dash;3 599,00;Met de geïntegreerde accu, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2023/01/dailytour-E2-D-dame-300x300.png;E-bike;Giant Dailytour E+ 2 D Dash;3 599,00;Met de geïntegreerde accu, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2023/01/dailytour-E-1-heren-300x300.png;E-bike;Giant Dailytour E+ 1;3 599,00;Met de geïntegreerde accu, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2023/01/dailytour-E-1-dames-300x300.png;E-bike;Giant Dailytour E+ 1;3 599,00;Met de geïntegreerde accu, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2020/11/explore-E-1-heer-300x300.png;E-bike;Giant Explore E+ 1 625 Wh;3 599,00;De Giant Explore E+ heeft een ALUXX aluminium frame en een SyncDrive Sport motor. Samengevoegd biedt dat geweldige stuureigenschappen en een soepele acceleratie op diverse soorten wegdek. De bredere tubeless banden zorgen voor comfort en stabiliteit. De geïntegreerde accu heeft een vermogen van 625 Wh.
https://www.coureurlocal.be/wp-content/uploads/2020/11/explore-E-1-300x300.png;E-bike;Giant Explore E+ 1 625 Wh;3 599,00;De Giant Explore E+ heeft een ALUXX aluminium frame en een SyncDrive Sport motor. Samengevoegd biedt dat geweldige stuureigenschappen en een soepele acceleratie op diverse soorten wegdek. De bredere tubeless banden zorgen voor comfort en stabiliteit. De geïntegreerde accu heeft een vermogen van 625 Wh.
https://www.coureurlocal.be/wp-content/uploads/2021/12/dailytour-E-2-BD-panther-heer-300x300.png;E-bike;Giant Dailytour E+ 2 BD;3 549,00;Met de geïntegreerde accu, onderhoudsvriendelijke riem, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2021/12/dailytour-E-2-BD-indigo-300x300.png;E-bike;Giant Dailytour E+ 2 BD;3 549,00;Met de geïntegreerde accu, onderhoudsvriendelijke riem, automatische ondersteuning en luxe kleurendisplay is het zalig om met de Giant DailyTour E+ op pad te gaan. De veelzijdige en praktische e-bike is ideaal voor dagelijks gebruik en voor langere fietstochten.
https://www.coureurlocal.be/wp-content/uploads/2020/03/i-mn-7-300x300.png;E-bike;QWIC Premium i MN7+;3 249,00;De QWIC Premium i MN7 + heeft een luxe uitstraling met een volledig in het frame geïntegreerde accu. Verder is deze design fiets uitgevoerd met een krachtige middenmotor  met rotatie- en krachtsensor. Uniek aan de Premium i MN7+ is het nieuwe full colour LCD display. De e-bike is verkrijgbaar in verschillende maten.
https://www.coureurlocal.be/wp-content/uploads/2020/03/i-mn7-black-vr-1-300x300.png;E-bike;QWIC Premium i MN7+;3 249,00;De QWIC Premium i MN7 + heeft een luxe uitstraling met een volledig in het frame geïntegreerde accu. Verder is deze design fiets uitgevoerd met een krachtige middenmotor  met rotatie- en krachtsensor. Uniek aan de Premium i MN7+ is het nieuwe full colour LCD display. De e-bike is verkrijgbaar in verschillende maten.
